U+3400	㐀	qiū;jau1;null;null;null	⿱卝一
U+3401	㐁	tiàn;tim2;null;null;null	㐁
U+3402	㐂	null;hei2;null;null;null	⿱七⿰⿻㇀乚⿻㇀乚
U+3404	㐄	kuà;null;null;null;null	㐄
U+3405	㐅	wǔ;ng5;null;null;null	㐅
U+3406	㐆	yǐn;zaan2;null;null;null	㐆
U+340C	㐌	yí;ji4;null;null;null	⿱𠂉也
U+3416	㐖	xié;zip6;null;null;null	⿰⿱⿱十一口乚
U+341C	㐜	chóu;caau4;null;null;null	⿰⿺⿻一⿻亅⿱丷八丶九
U+3421	㐡	nuò;no6;null;null;null	⿺九⿱⿱一⿱丿⿵冂⿰丨丨⿻一人
U+3424	㐤	dān;kaau4;null;null;null	⿺九⿱十⿱⿴且一八[GTKV]
U+3427	㐧	null;dai6;null;null;null	㐧
U+3428	㐨	xù;zeoi6;null;null;null	⿰⿱龴⿱乛亅⿱龴⿱乛亅
U+3429	㐩	xíng;zing4;null;null;null	⿰井井
U+342B	㐫	xiōng;gun3,hung1,zung1;null;null;null	⿱⿱丶一[GTK]⿶凵㐅
U+342C	㐬	liú;lau4;null;null;null	⿱⿻一厶[GT]⿴⿰丿乚丨
U+342D	㐭	lǐn;lam5;null;null;null	⿱⿱丶一[GTK]⿴囗口
U+342E	㐮	xiāng;soeng1;null;null;null	⿳⿱⿱丶一[GTK]八⿱井一𧘇
U+342F	㐯	yōng;jung4;null;null;null	⿳⿱丶一[GTK]⿱口口⿱⿱丿木日
U+3430	㐰	xìn;seon3;null;null;null	⿰亻口
U+3431	㐱	zhěn;caa5,caan2,dou3,zaan2;null;null;null	⿱人彡
U+3432	㐲	dài;daai6;null;null;null	⿰亻⿻一人
U+3433	㐳	wù;ngaat6;null;null;null	⿰亻⿱一⿰丿乚
U+3434	㐴	pān;paan1;null;null;null	⿰亻⿴𠂊丶
U+3435	㐵	rú;jyu4;null;null;null	⿰亻于
U+3437	㐷	mǎ;maa6;null;null;null	⿰亻⿹②一
U+3438	㐸	qiàn;gim1,him3;null;null;null	⿰亻欠
U+3439	㐹	yì;go1,kwok3,ngaat6;null;null;null	⿰亻⿳𠂉一乁
U+343A	㐺	yín;zung3;null;null;null	⿰亻⿰亻人,⿰⿰人人人
U+343B	㐻	nèi;fu1,mou5,noi6;null;null;null	⿰亻⿻冂人[G],⿰亻⿻冂入[T]
