Formula,Filename,n_variables
y = exp(-(x1/x0)**2/2) / (sqrt(2*pi)*x0),I.6.2,2
y = x0 * x1,I.12.1,2
y = x0 * x1,I.12.5,2
y = 1/2 * x0 * x1**2,I.14.4,2
y = x0 / x1,I.25.13,2
y = arcsin(x0 * sin(x1)),I.26.2,2
y = x0 / x1,I.29.4,2
y = (x1 / (2 * pi)) * x0,I.34.27,2
y = (3/2) * x0 * x1,I.39.1,2
y = x0 / (4 * pi * x1**2),II.3.24,2
y = x0 * x1**2 / 2,II.8.31,2
y = 1 + x0 * x1 / (1 - (x0 * x1 / 3)),II.11.28,2
y = x0 * x1**2,II.27.18,2
y = x0 / (2 * (1 + x1)),II.38.14,2
y = x0 * (x1 / (2 * pi)),III.12.43,2
