Formula,Filename,n_variables
y = exp(-(x1/x0)**2/2) / (sqrt(2*pi)*x0),I.6.2,2
y = x0 * x1,I.12.1,2
y = x0 * x1,I.12.5,2
y = 1/2 * x0 * x1**2,I.14.4,2
y = x0 / x1,I.25.13,2
y = arcsin(x0 * sin(x1)),I.26.2,2
y = x0 / x1,I.29.4,2
y = (x1 / (2 * pi)) * x0,I.34.27,2
y = (3/2) * x0 * x1,I.39.1,2
y = x0 / (4 * pi * x1**2),II.3.24,2
y = x0 * x1**2 / 2,II.8.31,2
y = 1 + x0 * x1 / (1 - (x0 * x1 / 3)),II.11.28,2
y = x0 * x1**2,II.27.18,2
y = x0 / (2 * (1 + x1)),II.38.14,2
y = x0 * (x1 / (2 * pi)),III.12.43,2
y = exp(-((x1 - x2) / x0)**2 / 2) / (sqrt(2 * pi) * x0),I.6.2b,3
y = x0 / sqrt(1 - x1**2 / x2**2),I.10.7,3
y = x0*x2/(4*pi*x1*x2**3),I.12.4,3
y = x0 * x1 * x2,I.14.3,3
y = (x1 + x2) / (1 + x1 * x2 / x0**2),I.16.6,3
y = 1 / (1 / x0 + x2 / x1),I.27.6,3
y = x0 * sin(x2 * x1 / 2)**2 / sin(x1 / 2)**2,I.30.3,3
y = arcsin(x0 / (x2 * x1)),I.30.5,3
y = x2 / (1 - x1 / x0),I.34.1,3
y = (1 + x1/x0) / sqrt(1 - x1**2/x0**2) * x2,I.34.14,3
y = x0 + x1 + 2 * sqrt(x0 * x1) * cos(x2),I.37.4,3
y = 1/(x0-1) * x1 * x2,I.39.11,3
y = x0 * x2 * x1,I.43.31,3
y = sqrt(x0 * x1 / x2),I.47.23,3
y = x0 / (4 * pi * x1 * x2),II.4.23,3
y = (3/5)*x0**2/(4*pi*x1*x2),II.8.7,3
y = x0 / (x1 * (1 + x2)),II.10.9,3
y = x0 / sqrt(1 - x1**2 / x2**2),II.13.23,3
y = x0 * x1 / sqrt(1 - x1**2 / x2**2),II.13.34,3
y = -x0 * x1 * cos(x2),II.15.4,3
y = -x0 * x1 * cos(x2),II.15.5,3
y = sqrt(x0**2/x1**2 - pi**2/x2**2),II.24.17,3
y = x0 * x1 * x2**2,II.27.16,3
y = x0 * x1 / (2 * pi * x2),II.34.2a,3
y = x0 * x1 * x2 / 2,II.34.2,3
y = x0 * x1 / (4 * pi * x2),II.34.29a,3
y = 2*x0*x1/(x2/(2*pi)),III.7.38,3
y = sin(x0 * x1 / (x2 / (2 * pi)))**2,III.8.54,3
y = 2*x0*(1 - cos(x1*x2)),III.15.12,3
y = (x0 / (2 * pi))**2 / (2 * x1 * x2**2),III.15.14,3
y = 2*pi*x0/(x1*x2),III.15.27,3
y = x0 * (1 + x1 * cos(x2)),III.17.37,3
