03/13 00:11:19 - OpenCompass - [4m[97mINFO[0m - Task [qwen/creationv2_zh_10]
03/13 00:11:29 - OpenCompass - [4m[97mINFO[0m - Start inferencing [qwen/creationv2_zh_10]
03/13 00:12:00 - OpenCompass - [4m[97mINFO[0m - time elapsed: 40.80s
srun: job 3472235 queued and waiting for resources
srun: job 3472235 has been allocated resources
srun: Job 3472235 scheduled successfully!
Current QUOTA_TYPE is [spot], which means the job has occupied quota in SPOT_TOTAL under your partition.
[NOTE]: This job MAY BE PREEMPTED by other jobs of reserved QUOTA_TYPE.
[NOTE]: phx_priority has NO effect on job of spot quota type.

/mnt/petrelfs/caomaosong/miniconda3/envs/opencompass/lib/python3.10/site-packages/transformers/utils/hub.py:124: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
A new version of the following files was downloaded from https://huggingface.co/THUDM/chatglm3-6b:
- tokenization_chatglm.py
. Make sure to double-check they do not contain any added malicious code. To avoid downloading new versions of the code file, you can pin a revision.
A new version of the following files was downloaded from https://huggingface.co/THUDM/chatglm3-6b:
- configuration_chatglm.py
. Make sure to double-check they do not contain any added malicious code. To avoid downloading new versions of the code file, you can pin a revision.
A new version of the following files was downloaded from https://huggingface.co/THUDM/chatglm3-6b:
- modeling_chatglm.py
. Make sure to double-check they do not contain any added malicious code. To avoid downloading new versions of the code file, you can pin a revision.

Downloading shards:   0%|          | 0/7 [00:00<?, ?it/s]
Downloading shards: 100%|██████████| 7/7 [00:00<00:00, 679.33it/s]

Loading checkpoint shards:   0%|          | 0/7 [00:00<?, ?it/s]
Loading checkpoint shards:  14%|█▍        | 1/7 [00:00<00:05,  1.07it/s]
Loading checkpoint shards:  29%|██▊       | 2/7 [00:01<00:04,  1.04it/s]
Loading checkpoint shards:  43%|████▎     | 3/7 [00:02<00:03,  1.05it/s]
Loading checkpoint shards:  57%|█████▋    | 4/7 [00:03<00:02,  1.07it/s]
Loading checkpoint shards:  71%|███████▏  | 5/7 [00:04<00:01,  1.06it/s]
Loading checkpoint shards:  86%|████████▌ | 6/7 [00:05<00:00,  1.07it/s]
Loading checkpoint shards: 100%|██████████| 7/7 [00:06<00:00,  1.23it/s]
Loading checkpoint shards: 100%|██████████| 7/7 [00:06<00:00,  1.13it/s]
[2024-03-13 00:11:29,749] [opencompass.openicl.icl_inferencer.icl_gen_inferencer] [INFO] Starting inference process...

  0%|          | 0/10 [00:00<?, ?it/s]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 10%|█         | 1/10 [00:02<00:18,  2.10s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 20%|██        | 2/10 [00:03<00:14,  1.78s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 30%|███       | 3/10 [00:05<00:13,  1.92s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 40%|████      | 4/10 [00:07<00:11,  1.89s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 50%|█████     | 5/10 [00:11<00:13,  2.70s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 60%|██████    | 6/10 [00:14<00:11,  2.87s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 70%|███████   | 7/10 [00:22<00:12,  4.26s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 80%|████████  | 8/10 [00:26<00:08,  4.44s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 90%|█████████ | 9/10 [00:28<00:03,  3.56s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

100%|██████████| 10/10 [00:30<00:00,  3.10s/it]
100%|██████████| 10/10 [00:30<00:00,  3.05s/it]
